Wavelength,F1,F2,FZ,F3,F4,FY,F5,FXL,F6,F7,F8,NIR
730,-7.805566907131176e-06,-2.5956619351196682e-05,5.479358350075531e-05,0.00018561436922473115,0.0009476944955104607,-0.0010908361117227372,0.0003417553428446278,0.002445067463200061,-0.007477533681987023,0.011758390965314584,0.1496021184355487,-0.0008518208015371492
735,-1.9724150499229472e-07,-6.645167387994971e-07,1.3789269040938146e-06,5.007058182354233e-06,2.2471635241707664e-05,-2.6908318303960213e-05,5.532607401552973e-05,-3.3645748226102794e-05,0.001054252621356113,-0.009458696479700652,0.17024754749142582,-0.0009691308519311878
740,5.443603616997822e-06,1.8087493700829477e-05,-3.8222706903479696e-05,-0.00012890837092788428,-0.0006634348249345869,0.0007618666264847809,-0.00015886128732107323,-0.0018676389065385662,0.007331057050938168,-0.024834184177422416,0.18402356960214894,-0.0010469891745795924
745,9.157178741130084e-06,3.0432879895694452e-05,-6.429374889426548e-05,-0.0002170789929993598,-0.0011149496518809935,0.0012811269784667942,-0.0003012298770751059,-0.003072237304519436,0.011425596918097327,-0.03466191910608366,0.18990466672325668,-0.0010789251317783544
750,1.117100421781115e-05,3.7127931724092273e-05,-7.84315498978241e-05,-0.00026490393626785554,-0.0013597490371520242,0.0015626922721796617,-0.00038008143507743057,-0.003722104776479028,0.013600401223183818,-0.03962777518575133,0.18766994247826052,-0.001062068065800999
755,1.1807671349169672e-05,3.924503330476598e-05,-8.290087666776408e-05,-0.00028004109312394657,-0.0014370612029612393,0.0016516724745686906,-0.00040758307160567684,-0.003922294795120444,0.014217541756931623,-0.04063802666506013,0.17793381070552117,-0.0009960169570622712
760,1.1419200710479717e-05,3.795439803708913e-05,-8.017310668031381e-05,-0.00027084689530308985,-0.0013896934540096341,0.0015972929727914652,-0.0003970021998046681,-0.003787463735796373,0.013672157252701503,-0.038683243518577985,0.16204001535130283,-0.0008795043633225514
765,1.0344077364389984e-05,3.4381222109938516e-05,-7.26246047137164e-05,-0.0002453556684241204,-0.0012588108799225807,0.00144688802073904,-0.00036098077206042205,-0.0034280939714095076,0.012346903493718593,-0.03473577073965105,0.14183720955166806,-0.000703784794911437
770,8.880787296473387e-06,2.9517713513443593e-05,-6.235093334803488e-05,-0.00021065147225339068,-0.0010807180423188828,0.0012422000725384596,-0.0003105441627863538,-0.002941861832832986,0.010582154745941428,-0.029674502067954092,0.11938449569778885,-0.0004413036441833849
775,7.27277570991192e-06,2.4173099951191543e-05,-5.106124495091501e-05,-0.00017251142896396716,-0.0008850279622108871,0.001017275588752179,-0.00025459178133655874,-0.002408621290932605,0.008657751829959457,-0.024232651123371966,0.09665117703706369,-2.7908697720521415e-05
780,5.701835281905997e-06,1.8951661749478266e-05,-4.003185564094354e-05,-0.00013524922026527406,-0.0006938559761030208,0.0007975395474235684,-0.00019971344557412406,-0.0018881169095706324,0.006783995074231171,-0.01896752360049669,0.07527157351417342,0.0006628823443934361
785,4.288415718997044e-06,1.4253770005984712e-05,-3.0108412570502613e-05,-0.00010172277213561686,-0.0005218557916156106,0.0005998380393633732,-0.00015025012047690397,-0.0014199846948451825,0.005100795126808016,-0.014252503860300173,0.056395653014984976,0.0018534937246360967
790,3.0977282473130787e-06,1.0296183948615577e-05,-2.174874794193659e-05,-7.347932685086023e-05,-0.00037696106335743663,0.00043329156892966974,-0.00010854746239728087,-0.0010256925546595185,0.003683948390654954,-0.010289884681321394,0.040647688837631216,0.0039000587136590226
795,2.15013362234191e-06,7.1465834421607425e-06,-1.5095808597837434e-05,-5.100203474892938e-05,-0.0002616486403604091,0.00030074768637975167,-7.534680067114907e-05,-0.0007119248534108566,0.002556807911363507,-0.007140122015741224,0.02817821070064677,0.007324547137972135
800,1.433787808612555e-06,4.765603533101012e-06,-1.00664377111027e-05,-3.401002591354126e-05,-0.00017447689249786968,0.00020054955940201598,-5.024459899727693e-05,-0.0004747361637746239,0.001704897734579807,-0.004760524986714939,0.0187769154679217,0.01282398333315742
805,9.173693716466102e-07,3.0491392184569454e-06,-6.440731064995114e-06,-2.17603695195471e-05,-0.00011163421862921527,0.00012831607827288075,-3.214738540360081e-05,-0.0003037471492116632,0.0010908079902112388,-0.0030456180876672384,0.01200901573951207,0.021233583426365124
810,5.610772617083717e-07,1.864900534251781e-06,-3.939250526336124e-06,-1.3308975446435273e-05,-6.827722381233874e-05,7.848009731401022e-05,-1.9661566642221067e-05,-0.00018577695319605658,0.0006671478765296665,-0.0018626495733621944,0.007343082249179081,0.03342111325758266
815,3.248162156183699e-07,1.0796194359793747e-06,-2.2804924490060106e-06,-7.704768386342171e-06,-3.952673705221835e-05,4.5433331901403866e-05,-1.1382233613664933e-05,-0.00010754940447906661,0.0003862190577490468,-0.0010782720465108975,0.004250185348161538,0.050101615486474904
820,1.732954898394417e-07,5.759970326871186e-07,-1.2166851235290249e-06,-4.110636822241047e-06,-2.1088251449544622e-05,2.42395277899822e-05,-6.072599381427659e-06,-5.7379664474331786e-05,0.00020605203368617383,-0.0005752430897587827,0.002266918596524318,0.07158696677776674
825,7.840589804813318e-08,2.606043928471917e-07,-5.504776197551248e-07,-1.859818808653807e-06,-9.541178517365211e-06,1.0966943447398611e-05,-2.7475382175937845e-06,-2.5960776307342105e-05,9.322193795135323e-05,-0.00026022005045432325,0.0010248969355290331,0.09751924092620752
830,1.9588113343692105e-08,6.510670908331197e-08,-1.3752558339732e-07,-4.6463847082946423e-07,-2.3836661393818715e-06,2.739865350615119e-06,-6.865373746444819e-07,-6.4855116457327265e-06,2.3282614217223898e-05,-6.494453656878865e-05,0.00025492095581964067,0.12666848902150987
835,-1.702765773579338e-08,-5.659624373810782e-08,1.1954899944828489e-07,4.0390139309657783e-07,2.0720932331974183e-06,-2.381729029780294e-06,5.964620674103568e-07,5.6384714323269835e-06,-2.025756566182833e-05,5.6627612974585795e-05,-0.00022453214552959835,0.1568872307765437
840,-4.005159080671873e-08,-1.3312284505287893e-07,2.8119705162276467e-07,9.500376236497443e-07,4.873867502963567e-06,-5.6021789181917135e-06,1.4031908735280706e-06,1.3262050278999943e-05,-4.763624988826858e-05,0.00013307801749881424,-0.0005261117079959849,0.18529120073603678
